,ts,name,tips,incubation_volume,replicator,plates,lids,stickers,rep_time
0,2016-08-17 23:20:06.449125,Giles,10.0,1.0,0.0,1.0,1.0,1.0,1.0
1,2017-01-25 17:20:34.803904,Giles,10.0,12.0,0.0,31.0,31.0,31.0,1.0
2,2017-01-25 19:14:53.569418,Giles,1.0,1.0,0.0,1.0,1.0,1.0,1.0
